perro,fecha,min_reposo,min_calma,min_activo,min_intenso,min_sin_datos,min_otros,ladridos_total,ladridos_franjas,ladridos_max_30min,fc_media,fc_min,fc_max,fc_n,fr_media,fr_min,fr_max,fr_n,temp_disp_media,temp_disp_max,dia_semana,es_finde,mes
cherry,2026-02-22,240.18333333333356,6.416666666666658,7.949999999999985,0.0,1185.4499999999916,0.0,6.0,2.0,4.0,57.63636363636363,51.0,77.0,22.0,9.471428571428572,7.0,14.0,70.0,21.90909090909091,28,Sunday,True,2
cherry,2026-02-23,888.2333333333311,85.26666666666551,117.69999999999784,0.0,348.8000000000056,0.0,149.0,11.0,53.0,57.78947368421053,51.0,80.0,76.0,8.4609375,5.0,20.0,128.0,27.0,35,Monday,False,2
cherry,2026-02-24,933.016666666664,67.61666666666585,108.59999999999789,0.0,330.7666666666715,0.0,289.0,15.0,84.0,58.04225352112676,51.0,96.0,71.0,7.8478260869565215,5.0,14.0,138.0,27.68421052631579,32,Tuesday,False,2
cherry,2026-02-25,1014.3999999999986,50.433333333332904,87.46666666666535,0.0,287.70000000000397,0.0,565.0,19.0,105.0,55.372093023255815,51.0,79.0,86.0,7.9226190476190474,4.0,16.0,168.0,26.666666666666668,35,Wednesday,False,2
cherry,2026-02-26,901.8666666666649,79.58333333333246,116.68333333333135,0.0,341.8666666666721,0.0,351.0,10.0,98.0,57.254901960784316,52.0,101.0,51.0,7.909677419354839,5.0,16.0,155.0,27.333333333333332,36,Thursday,False,2
cherry,2026-02-27,976.4333333333336,60.33333333333282,98.93333333333163,0.0,304.3000000000045,0.0,567.0,16.0,176.0,59.53947368421053,51.0,96.0,76.0,9.006802721088436,4.0,23.0,147.0,25.375,32,Friday,False,2
cherry,2026-02-28,832.399999999999,75.44999999999912,133.28333333333183,0.0,398.86666666667327,0.0,199.0,13.0,73.0,57.43396226415094,51.0,77.0,53.0,7.88,5.0,13.0,100.0,27.692307692307693,30,Saturday,True,2
cherry,2026-03-01,877.566666666663,65.56666666666595,116.36666666666441,0.0,380.50000000000665,0.0,182.0,18.0,45.0,57.707317073170735,51.0,107.0,82.0,7.477876106194691,4.0,16.0,113.0,19.545454545454547,27,Sunday,True,3
cherry,2026-03-02,866.0666666666654,68.18333333333247,124.483333333331,0.0,381.2666666666752,0.0,105.0,18.0,26.0,58.666666666666664,51.0,80.0,81.0,8.660194174757281,5.0,17.0,103.0,21.63157894736842,35,Monday,False,3
cherry,2026-03-03,855.8166666666656,55.649999999999565,115.86666666666427,0.0,412.66666666667425,0.0,308.0,12.0,99.0,58.55555555555556,51.0,77.0,81.0,8.597701149425287,5.0,22.0,87.0,20.03846153846154,35,Tuesday,False,3
cherry,2026-03-04,852.4499999999986,67.16666666666566,126.83333333333033,0.0,393.5500000000079,0.0,386.0,13.0,193.0,59.223684210526315,51.0,121.0,76.0,8.71,5.0,30.0,100.0,19.90909090909091,29,Wednesday,False,3
cherry,2026-03-05,967.4166666666645,58.96666666666601,119.66666666666409,0.0,293.9500000000052,0.0,308.0,13.0,107.0,61.325,51.0,96.0,80.0,8.779527559055119,4.0,15.0,127.0,30.25,34,Thursday,False,3
cherry,2026-03-06,908.9833333333321,54.23333333333272,126.68333333333048,0.0,350.10000000000923,0.0,700.0,17.0,216.0,58.21212121212121,51.0,75.0,66.0,8.918032786885245,5.0,21.0,122.0,23.37837837837838,35,Friday,False,3
cherry,2026-03-07,924.9166666666641,53.199999999999534,112.2499999999977,0.0,349.63333333334003,0.0,463.0,13.0,255.0,60.44871794871795,51.0,96.0,78.0,8.512605042016807,5.0,16.0,119.0,16.555555555555557,31,Saturday,True,3
cherry,2026-03-08,1034.1499999999978,38.46666666666662,92.49999999999868,0.0,274.8833333333383,0.0,164.0,19.0,58.0,56.95918367346939,51.0,75.0,49.0,8.598591549295774,5.0,15.0,142.0,19.142857142857142,32,Sunday,True,3
cherry,2026-03-09,946.6499999999992,47.46666666666632,111.54999999999777,0.0,334.33333333333985,0.0,182.0,15.0,100.0,59.96,51.0,80.0,75.0,8.832369942196532,5.0,18.0,173.0,20.4,34,Monday,False,3
cherry,2026-03-10,914.7833333333305,57.549999999999336,118.83333333333069,0.0,348.8333333333422,0.0,266.0,16.0,100.0,59.91549295774648,51.0,88.0,71.0,8.481132075471699,5.0,18.0,106.0,18.714285714285715,26,Tuesday,False,3
cherry,2026-03-11,968.1666666666647,55.86666666666597,114.58333333333091,0.0,301.38333333333975,0.0,58.0,14.0,13.0,56.232142857142854,51.0,84.0,56.0,8.486301369863014,5.0,14.0,146.0,28.8,34,Wednesday,False,3
cherry,2026-03-12,977.6499999999982,52.63333333333279,109.88333333333124,0.0,299.833333333338,0.0,108.0,13.0,67.0,56.97959183673469,50.0,96.0,49.0,8.617647058823529,4.0,15.0,170.0,22.333333333333332,25,Thursday,False,3
cherry,2026-03-13,995.9166666666632,55.73333333333283,95.1499999999985,0.0,293.20000000000624,0.0,420.0,13.0,181.0,55.8421052631579,51.0,88.0,57.0,8.506493506493506,5.0,15.0,154.0,24.8,32,Friday,False,3
cherry,2026-03-14,849.7833333333299,59.083333333332526,146.31666666666476,0.0,384.8166666666743,0.0,122.0,17.0,32.0,58.60344827586207,51.0,84.0,58.0,7.971830985915493,5.0,17.0,142.0,18.666666666666668,30,Saturday,True,3
cherry,2026-03-15,992.7666666666665,44.38333333333306,90.19999999999872,0.0,312.6500000000043,0.0,963.0,17.0,255.0,62.17482517482517,50.0,82.0,143.0,7.913907284768212,5.0,12.0,151.0,19.0,29,Sunday,True,3
cherry,2026-03-16,878.5499999999967,53.31666666666613,97.78333333333164,85.85,324.5000000000057,0.0,843.0,18.0,178.0,58.70860927152318,51.0,72.0,151.0,7.791469194312796,5.0,25.0,211.0,31.192307692307693,45,Monday,False,3
cherry,2026-03-17,490.76666666666756,32.51666666666679,71.81666666666607,5.266666666666667,839.6333333333048,0.0,734.0,17.0,180.0,56.6875,51.0,75.0,48.0,10.277777777777779,7.0,27.0,144.0,20.384615384615383,31,Tuesday,False,3
cherry,2026-03-18,810.5333333333332,64.4666666666658,122.94999999999725,0.0,442.05000000000854,0.0,929.0,20.0,255.0,58.91860465116279,51.0,72.0,86.0,7.274074074074074,5.0,17.0,135.0,21.294117647058822,27,Wednesday,False,3
cherry,2026-03-19,985.8166666666642,49.016666666666204,93.56666666666516,0.0,311.60000000000565,0.0,384.0,18.0,184.0,57.88235294117647,51.0,73.0,170.0,7.654205607476635,5.0,15.0,214.0,29.0,31,Thursday,False,3
cherry,2026-03-20,841.7833333333298,49.0166666666662,121.9666666666643,0.0,427.23333333334176,0.0,922.0,21.0,196.0,58.85507246376812,51.0,70.0,138.0,7.21301775147929,5.0,22.0,169.0,18.166666666666668,25,Friday,False,3
cherry,2026-03-21,954.5833333333319,49.88333333333284,113.69999999999781,0.0,321.83333333333917,0.0,545.0,16.0,255.0,58.377272727272725,51.0,70.0,220.0,7.057971014492754,5.0,21.0,207.0,26.5,30,Saturday,True,3
cherry,2026-03-22,996.5666666666642,47.19999999999966,95.6999999999983,0.0,300.5333333333383,0.0,531.0,16.0,139.0,57.64052287581699,51.0,77.0,153.0,7.666666666666667,5.0,16.0,249.0,26.5,36,Sunday,True,3
cherry,2026-03-23,838.6499999999992,59.966666666665866,115.03333333333075,0.0,414.4500000000089,11.9,208.0,19.0,54.0,56.03174603174603,51.0,65.0,63.0,8.804347826086957,6.0,35.0,184.0,21.791666666666668,32,Monday,False,3
cherry,2026-03-24,941.9999999999972,46.966666666666384,101.68333333333167,0.0,331.48333333334006,17.866666666666674,513.0,18.0,96.0,58.11578947368421,51.0,72.0,95.0,7.624365482233503,5.0,19.0,197.0,24.0,30,Tuesday,False,3
